scanning_run;onset;duration;trial_type;stim_file;jitter;concept
1;386,177047;3,5;affective_unlikable;socialcon_audios.gloomy_r.wav;6,5;Gloomy
1;398,9270022;3,5;affective_likable;socialcon_audios.grateful.wav;6,5;Grateful
1;411,2469598;3,5;affective_unlikable;socialcon_audios.cruel_r.wav;6;Cruel
1;423,2569227;3,5;nonaffective_unlikable;socialcon_audios.irresponsible.wav;6,5;Irresponsible
1;435,5768775;3,5;nonaffective_likable;socialcon_audios.clever_r.wav;7;Clever
2;2,25796845;3,5;affective_likable;socialcon_audios.cheerful.wav;6,5;Cheerful
2;14,57807396;3,5;nonaffective_unlikable;socialcon_audios.lazy.wav;7;Lazy
2;27,3880478;3,5;affective_unlikable;socialcon_audios.snobbish.wav;6,5;Snobbish
2;39,65804346;3,5;nonaffective_likable;socialcon_audios.loyal_r.wav;6,5;Loyal
2;52,40798875;3,5;affective_unlikable;socialcon_audios.gloomy_r.wav;6;Gloomy
2;64,65796758;3,5;affective_likable;socialcon_audios.sympathetic.wav;6;Sympathetic
2;76,74797173;3,5;nonaffective_unlikable;socialcon_audios.greedy_r.wav;7;Greedy
2;89,99793822;3,5;nonaffective_likable;socialcon_audios.understanding.wav;7;Understanding
2;103,2479015;3,5;nonaffective_likable;socialcon_audios.sincere_r.wav;6;Sincere
2;115,0678897;3,5;nonaffective_unlikable;socialcon_audios.phony_r.wav;6,5;Phony
2;127,3978854;3,5;affective_unlikable;socialcon_audios.Unforgiving_r.wav;7;Unforgiving
2;140,2278408;3,5;affective_likable;socialcon_audios.grateful.wav;6;Grateful
2;152,0578093;3,5;affective_unlikable;socialcon_audios.neurotic.wav;6;Neurotic
2;164,3077967;3,5;nonaffective_unlikable;socialcon_audios.hostile_r.wav;8;Hostile
2;178,1377699;3,5;nonaffective_likable;socialcon_audios.helpful_r.wav;6;Helpful
2;189,9677404;3,5;affective_likable;socialcon_audios.sensible_r.wav;6;Sensible
2;201,9477252;3,5;nonaffective_unlikable;socialcon_audios.selfish_r.wav;6;Selfish
2;214,1977009;3,5;affective_likable;socialcon_audios.warm-hearted.wav;6;Warm-hearted
2;226,0277058;3,5;nonaffective_likable;socialcon_audios.clever_r.wav;6,5;Clever
2;238,7776784;3,5;affective_unlikable;socialcon_audios.envious.wav;7,5;Envious
2;252,5276298;3,5;nonaffective_likable;socialcon_audios.conscientious_r.wav;6;Conscientious
2;264,3476061;3,5;affective_unlikable;socialcon_audios.hot-tempered.wav;6,5;Hot-tempered
2;277,0975855;3,5;affective_likable;socialcon_audios.good-natured.wav;7;Good-natured
2;289,907579;3,5;nonaffective_unlikable;socialcon_audios.prejudiced_r.wav;6;Prejudiced
2;302,1175368;3,5;nonaffective_likable;socialcon_audios.forgiving_r.wav;6;Forgiving
2;314,1475219;3,5;affective_likable;socialcon_audios.kind.wav;6,5;Kind
2;326,887496;3,5;nonaffective_unlikable;socialcon_audios.boring_r.wav;6;Boring
2;339,1074575;3,5;affective_unlikable;socialcon_audios.insensitive_r.wav;7,5;Insensitive
2;352,4374376;3,5;affective_likable;socialcon_audios.empathetic_r.wav;6;Empathetic
2;364,687405;3,5;affective_unlikable;socialcon_audios.cruel_r.wav;6;Cruel
2;376,6973774;3,5;nonaffective_likable;socialcon_audios.unselfish_r.wav;6,5;Unselfish
2;389,3575073;3,5;nonaffective_unlikable;socialcon_audios.irresponsible.wav;6;Irresponsible
2;401,1873991;3,5;nonaffective_unlikable;socialcon_audios.rude_r.wav;6;Rude
2;413,0174059;3,5;affective_unlikable;socialcon_audios.resentful.wav;6;Resentful
2;424,8473457;3,5;nonaffective_likable;socialcon_audios.intelligent.wav;6;Intelligent
2;437,0172281;3,5;affective_likable;socialcon_audios.enthusiastic.wav;6;Enthusiastic
3;2,257692727;3,5;affective_likable;socialcon_audios.sympathetic.wav;6;Sympathetic
3;14,35773054;3,5;nonaffective_unlikable;socialcon_audios.lazy.wav;6;Lazy
3;26,16768501;3,5;nonaffective_likable;socialcon_audios.loyal_r.wav;6,5;Loyal
3;38,9176328;3,5;affective_unlikable;socialcon_audios.snobbish.wav;6;Snobbish
3;50,68759897;3,5;affective_unlikable;socialcon_audios.resentful.wav;6,5;Resentful
3;62,99755481;3,5;nonaffective_unlikable;socialcon_audios.prejudiced_r.wav;6;Prejudiced
3;75,20751788;3,5;affective_likable;socialcon_audios.empathetic_r.wav;6;Empathetic
3;87,45745717;3,5;nonaffective_likable;socialcon_audios.helpful_r.wav;6;Helpful
3;99,28741085;3,5;nonaffective_unlikable;socialcon_audios.rude_r.wav;7;Rude
3;112,1174383;3,5;affective_unlikable;socialcon_audios.hot-tempered.wav;6;Hot-tempered
3;124,3673916;3,5;affective_likable;socialcon_audios.cheerful.wav;6;Cheerful
3;136,1972809;3,5;nonaffective_likable;socialcon_audios.understanding.wav;7;Understanding
3;149,4472233;3,5;affective_likable;socialcon_audios.warm-hearted.wav;6,5;Warm-hearted
3;161,7772287;3,5;nonaffective_likable;socialcon_audios.sincere_r.wav;7;Sincere
3;174,5971612;3,5;nonaffective_unlikable;socialcon_audios.hostile_r.wav;6,5;Hostile
3;186,9070889;3,5;affective_unlikable;socialcon_audios.cruel_r.wav;6,5;Cruel
3;199,4070456;3,5;affective_unlikable;socialcon_audios.Unforgiving_r.wav;7;Unforgiving
3;212,2170192;3,5;nonaffective_likable;socialcon_audios.intelligent.wav;6;Intelligent
3;224,3769676;3,5;nonaffective_unlikable;socialcon_audios.irresponsible.wav;6;Irresponsible
3;236,1969176;3,5;affective_likable;socialcon_audios.enthusiastic.wav;6;Enthusiastic
3;248,0268722;3,5;nonaffective_likable;socialcon_audios.clever_r.wav;6;Clever
3;260,2768259;3,5;nonaffective_unlikable;socialcon_audios.boring_r.wav;6;Boring
3;272,496796;3,5;affective_likable;socialcon_audios.sensible_r.wav;7,5;Sensible
3;285,9767493;3,5;affective_unlikable;socialcon_audios.envious.wav;6;Envious
3;298,2267153;3,5;nonaffective_unlikable;socialcon_audios.phony_r.wav;7,5;Phony
3;311,5566901;3,5;nonaffective_likable;socialcon_audios.forgiving_r.wav;6;Forgiving
3;323,5866353;3,5;affective_likable;socialcon_audios.good-natured.wav;6;Good-natured
3;335,4165997;3,5;affective_unlikable;socialcon_audios.insensitive_r.wav;6;Insensitive
3;347,2465507;3,5;nonaffective_unlikable;socialcon_audios.selfish_r.wav;6,5;Selfish
3;359,9965209;3,5;affective_unlikable;socialcon_audios.gloomy_r.wav;6;Gloomy
3;372,2464906;3,5;affective_likable;socialcon_audios.kind.wav;6,5;Kind
3;384,9964672;3,5;nonaffective_likable;socialcon_audios.unselfish_r.wav;8;Unselfish
3;399,1664057;3,5;affective_likable;socialcon_audios.grateful.wav;6;Grateful
3;410,9963965;3,5;nonaffective_likable;socialcon_audios.conscientious_r.wav;6,5;Conscientious
3;423,3263359;3,5;nonaffective_unlikable;socialcon_audios.greedy_r.wav;7;Greedy
3;436,5762806;3,5;affective_unlikable;socialcon_audios.neurotic.wav;6;Neurotic
4;2,25543975;3,5;nonaffective_unlikable;socialcon_audios.rude_r.wav;6;Rude
4;14,08549587;3,5;affective_likable;socialcon_audios.kind.wav;6;Kind
4;26,31547009;3,5;nonaffective_likable;socialcon_audios.sincere_r.wav;6;Sincere
4;38,13543712;3,5;affective_unlikable;socialcon_audios.envious.wav;6;Envious
4;50,38544006;3,5;affective_likable;socialcon_audios.grateful.wav;6;Grateful
4;62,21538908;3,5;nonaffective_unlikable;socialcon_audios.phony_r.wav;7;Phony
4;75,04537854;3,5;nonaffective_likable;socialcon_audios.clever_r.wav;6,5;Clever
4;87,79531455;3,5;affective_unlikable;socialcon_audios.neurotic.wav;6;Neurotic
4;100,0453426;3,5;affective_unlikable;socialcon_audios.insensitive_r.wav;6;Insensitive
4;111,8752767;3,5;affective_likable;socialcon_audios.good-natured.wav;7;Good-natured
4;124,6952347;3,5;nonaffective_likable;socialcon_audios.loyal_r.wav;6;Loyal
4;136,9451952;3,5;nonaffective_unlikable;socialcon_audios.boring_r.wav;6;Boring
4;149,1551704;3,5;nonaffective_likable;socialcon_audios.helpful_r.wav;6,5;Helpful
4;161,4851349;3,5;affective_likable;socialcon_audios.empathetic_r.wav;6,5;Empathetic
4;174,2351019;3,5;affective_unlikable;socialcon_audios.cruel_r.wav;6,5;Cruel
4;186,7450722;3,5;nonaffective_unlikable;socialcon_audios.greedy_r.wav;6;Greedy
4;198,9950582;3,5;nonaffective_likable;socialcon_audios.forgiving_r.wav;7,5;Forgiving
